DT,Y,D1,D2,D3,D4,D5,D6,D7
A91,12.347,13.085,13.373,13.484,13.774,13.390,11.100,12.214
A92,11.337,12.347,13.085,13.373,13.484,13.774,13.390,11.100
A93,13.404,11.337,12.347,13.085,13.373,13.484,13.774,13.390
A94,13.065,13.404,11.337,12.347,13.085,13.373,13.484,13.774
A95,13.435,13.065,13.404,11.337,12.347,13.085,13.373,13.484
A96,13.780,13.435,13.065,13.404,11.337,12.347,13.085,13.373
A97,13.633,13.780,13.435,13.065,13.404,11.337,12.347,13.085
A98,12.574,13.633,13.780,13.435,13.065,13.404,11.337,12.347
A99,11.245,12.574,13.633,13.780,13.435,13.065,13.404,11.337
A100,13.125,11.245,12.574,13.633,13.780,13.435,13.065,13.404
A101,13.222,13.125,11.245,12.574,13.633,13.780,13.435,13.065
A102,13.192,13.222,13.125,11.245,12.574,13.633,13.780,13.435
A103,13.098,13.192,13.222,13.125,11.245,12.574,13.633,13.780
A104,13.452,13.098,13.192,13.222,13.125,11.245,12.574,13.633
A105,12.219,13.452,13.098,13.192,13.222,13.125,11.245,12.574
A106,11.109,12.219,13.452,13.098,13.192,13.222,13.125,11.245
A107,13.395,11.109,12.219,13.452,13.098,13.192,13.222,13.125
A108,13.424,13.395,11.109,12.219,13.452,13.098,13.192,13.222
A109,11.480,13.424,13.395,11.109,12.219,13.452,13.098,13.192
A110,13.461,11.480,13.424,13.395,11.109,12.219,13.452,13.098
A111,13.538,13.461,11.480,13.424,13.395,11.109,12.219,13.452
A112,12.507,13.538,13.461,11.480,13.424,13.395,11.109,12.219
A113,11.442,12.507,13.538,13.461,11.480,13.424,13.395,11.109
A114,13.496,11.442,12.507,13.538,13.461,11.480,13.424,13.395
A115,13.764,13.496,11.442,12.507,13.538,13.461,11.480,13.424
A116,13.642,13.764,13.496,11.442,12.507,13.538,13.461,11.480
A117,13.362,13.642,13.764,13.496,11.442,12.507,13.538,13.461
A118,13.611,13.362,13.642,13.764,13.496,11.442,12.507,13.538
A119,12.725,13.611,13.362,13.642,13.764,13.496,11.442,12.507
A120,11.317,12.725,13.611,13.362,13.642,13.764,13.496,11.442
A121,13.546,11.317,12.725,13.611,13.362,13.642,13.764,13.496
A122,13.917,13.546,11.317,12.725,13.611,13.362,13.642,13.764
A123,13.906,13.917,13.546,11.317,12.725,13.611,13.362,13.642
A124,13.892,13.906,13.917,13.546,11.317,12.725,13.611,13.362
A125,13.884,13.892,13.906,13.917,13.546,11.317,12.725,13.611
A126,12.696,13.884,13.892,13.906,13.917,13.546,11.317,12.725
A127,11.602,12.696,13.884,13.892,13.906,13.917,13.546,11.317
A128,13.867,11.602,12.696,13.884,13.892,13.906,13.917,13.546
A129,14.112,13.867,11.602,12.696,13.884,13.892,13.906,13.917
A130,14.099,14.112,13.867,11.602,12.696,13.884,13.892,13.906
A131,14.091,14.099,14.112,13.867,11.602,12.696,13.884,13.892
A132,13.855,14.091,14.099,14.112,13.867,11.602,12.696,13.884
A133,12.582,13.855,14.091,14.099,14.112,13.867,11.602,12.696
A134,11.485,12.582,13.855,14.091,14.099,14.112,13.867,11.602
A135,13.683,11.485,12.582,13.855,14.091,14.099,14.112,13.867
A136,13.855,13.683,11.485,12.582,13.855,14.091,14.099,14.112
A137,13.795,13.855,13.683,11.485,12.582,13.855,14.091,14.099
A138,11.849,13.795,13.855,13.683,11.485,12.582,13.855,14.091
A139,13.453,11.849,13.795,13.855,13.683,11.485,12.582,13.855
A140,12.475,13.453,11.849,13.795,13.855,13.683,11.485,12.582
A141,11.340,12.475,13.453,11.849,13.795,13.855,13.683,11.485
A142,13.531,11.340,12.475,13.453,11.849,13.795,13.855,13.683
A143,13.848,13.531,11.340,12.475,13.453,11.849,13.795,13.855
A144,13.925,13.848,13.531,11.340,12.475,13.453,11.849,13.795
A145,13.910,13.925,13.848,13.531,11.340,12.475,13.453,11.849
A146,13.704,13.910,13.925,13.848,13.531,11.340,12.475,13.453
A147,12.159,13.704,13.910,13.925,13.848,13.531,11.340,12.475
A148,11.286,12.159,13.704,13.910,13.925,13.848,13.531,11.340
A149,13.682,11.286,12.159,13.704,13.910,13.925,13.848,13.531
A150,13.938,13.682,11.286,12.159,13.704,13.910,13.925,13.848
A151,13.862,13.938,13.682,11.286,12.159,13.704,13.910,13.925
A152,13.712,13.862,13.938,13.682,11.286,12.159,13.704,13.910
A153,13.574,13.712,13.862,13.938,13.682,11.286,12.159,13.704
A154,12.391,13.574,13.712,13.862,13.938,13.682,11.286,12.159
A155,11.316,12.391,13.574,13.712,13.862,13.938,13.682,11.286
A156,12.614,11.316,12.391,13.574,13.712,13.862,13.938,13.682
A157,13.516,12.614,11.316,12.391,13.574,13.712,13.862,13.938
A158,13.709,13.516,12.614,11.316,12.391,13.574,13.712,13.862
A159,13.688,13.709,13.516,12.614,11.316,12.391,13.574,13.712
A160,13.723,13.688,13.709,13.516,12.614,11.316,12.391,13.574
A161,12.559,13.723,13.688,13.709,13.516,12.614,11.316,12.391
A162,11.466,12.559,13.723,13.688,13.709,13.516,12.614,11.316
A163,13.800,11.466,12.559,13.723,13.688,13.709,13.516,12.614
A164,14.024,13.800,11.466,12.559,13.723,13.688,13.709,13.516
A165,13.147,14.024,13.800,11.466,12.559,13.723,13.688,13.709
A166,13.757,13.147,14.024,13.800,11.466,12.559,13.723,13.688
A167,13.854,13.757,13.147,14.024,13.800,11.466,12.559,13.723
A168,12.897,13.854,13.757,13.147,14.024,13.800,11.466,12.559
A169,11.430,12.897,13.854,13.757,13.147,14.024,13.800,11.466
A170,13.024,11.430,12.897,13.854,13.757,13.147,14.024,13.800
A171,13.560,13.024,11.430,12.897,13.854,13.757,13.147,14.024
A172,13.802,13.560,13.024,11.430,12.897,13.854,13.757,13.147
A173,13.892,13.802,13.560,13.024,11.430,12.897,13.854,13.757
A174,13.914,13.892,13.802,13.560,13.024,11.430,12.897,13.854
A175,12.747,13.914,13.892,13.802,13.560,13.024,11.430,12.897
A176,11.755,12.747,13.914,13.892,13.802,13.560,13.024,11.430
A177,13.770,11.755,12.747,13.914,13.892,13.802,13.560,13.024
A178,13.960,13.770,11.755,12.747,13.914,13.892,13.802,13.560
A179,13.980,13.960,13.770,11.755,12.747,13.914,13.892,13.802
A180,13.944,13.980,13.960,13.770,11.755,12.747,13.914,13.892
A181,13.674,13.944,13.980,13.960,13.770,11.755,12.747,13.914
A182,12.562,13.674,13.944,13.980,13.960,13.770,11.755,12.747
A183,11.475,12.562,13.674,13.944,13.980,13.960,13.770,11.755
A184,13.591,11.475,12.562,13.674,13.944,13.980,13.960,13.770
A185,13.920,13.591,11.475,12.562,13.674,13.944,13.980,13.960
A186,13.981,13.920,13.591,11.475,12.562,13.674,13.944,13.980
A187,13.790,13.981,13.920,13.591,11.475,12.562,13.674,13.944
A188,13.504,13.790,13.981,13.920,13.591,11.475,12.562,13.674
A189,12.440,13.504,13.790,13.981,13.920,13.591,11.475,12.562
A190,11.025,12.440,13.504,13.790,13.981,13.920,13.591,11.475
A191,13.522,11.025,12.440,13.504,13.790,13.981,13.920,13.591
A192,13.924,13.522,11.025,12.440,13.504,13.790,13.981,13.920
A193,14.058,13.924,13.522,11.025,12.440,13.504,13.790,13.981
A194,13.905,14.058,13.924,13.522,11.025,12.440,13.504,13.790
A195,13.465,13.905,14.058,13.924,13.522,11.025,12.440,13.504
A196,12.213,13.465,13.905,14.058,13.924,13.522,11.025,12.440
A197,11.249,12.213,13.465,13.905,14.058,13.924,13.522,11.025
A198,13.689,11.249,12.213,13.465,13.905,14.058,13.924,13.522
A199,13.910,13.689,11.249,12.213,13.465,13.905,14.058,13.924
A200,13.830,13.910,13.689,11.249,12.213,13.465,13.905,14.058
A201,13.900,13.830,13.910,13.689,11.249,12.213,13.465,13.905
A202,13.837,13.900,13.830,13.910,13.689,11.249,12.213,13.465
A203,12.978,13.837,13.900,13.830,13.910,13.689,11.249,12.213
A204,11.830,12.978,13.837,13.900,13.830,13.910,13.689,11.249
A205,13.996,11.830,12.978,13.837,13.900,13.830,13.910,13.689
A206,14.261,13.996,11.830,12.978,13.837,13.900,13.830,13.910
A207,14.260,14.261,13.996,11.830,12.978,13.837,13.900,13.830
A208,14.282,14.260,14.261,13.996,11.830,12.978,13.837,13.900
A209,14.369,14.282,14.260,14.261,13.996,11.830,12.978,13.837
A210,13.288,14.369,14.282,14.260,14.261,13.996,11.830,12.978
A211,11.905,13.288,14.369,14.282,14.260,14.261,13.996,11.830
A212,14.227,11.905,13.288,14.369,14.282,14.260,14.261,13.996
A213,14.552,14.227,11.905,13.288,14.369,14.282,14.260,14.261
A214,14.458,14.552,14.227,11.905,13.288,14.369,14.282,14.260
A215,13.033,14.458,14.552,14.227,11.905,13.288,14.369,14.282
A216,13.716,13.033,14.458,14.552,14.227,11.905,13.288,14.369
A217,13.185,13.716,13.033,14.458,14.552,14.227,11.905,13.288
A218,11.970,13.185,13.716,13.033,14.458,14.552,14.227,11.905
A219,14.313,11.970,13.185,13.716,13.033,14.458,14.552,14.227
A220,14.547,14.313,11.970,13.185,13.716,13.033,14.458,14.552
A221,14.805,14.547,14.313,11.970,13.185,13.716,13.033,14.458
A222,14.666,14.805,14.547,14.313,11.970,13.185,13.716,13.033
A223,14.656,14.666,14.805,14.547,14.313,11.970,13.185,13.716
A224,13.374,14.656,14.666,14.805,14.547,14.313,11.970,13.185
A225,12.294,13.374,14.656,14.666,14.805,14.547,14.313,11.970
A226,14.590,12.294,13.374,14.656,14.666,14.805,14.547,14.313
A227,14.784,14.590,12.294,13.374,14.656,14.666,14.805,14.547
A228,14.834,14.784,14.590,12.294,13.374,14.656,14.666,14.805
A229,14.832,14.834,14.784,14.590,12.294,13.374,14.656,14.666
A230,14.774,14.832,14.834,14.784,14.590,12.294,13.374,14.656
A231,13.476,14.774,14.832,14.834,14.784,14.590,12.294,13.374
A232,12.203,13.476,14.774,14.832,14.834,14.784,14.590,12.294
A233,14.603,12.203,13.476,14.774,14.832,14.834,14.784,14.590
A234,14.733,14.603,12.203,13.476,14.774,14.832,14.834,14.784
A235,14.576,14.733,14.603,12.203,13.476,14.774,14.832,14.834
A236,14.417,14.576,14.733,14.603,12.203,13.476,14.774,14.832
A237,14.500,14.417,14.576,14.733,14.603,12.203,13.476,14.774
A238,12.520,14.500,14.417,14.576,14.733,14.603,12.203,13.476
A239,12.086,12.520,14.500,14.417,14.576,14.733,14.603,12.203
A240,14.565,12.086,12.520,14.500,14.417,14.576,14.733,14.603
A241,14.883,14.565,12.086,12.520,14.500,14.417,14.576,14.733
A242,14.709,14.883,14.565,12.086,12.520,14.500,14.417,14.576
A243,14.811,14.709,14.883,14.565,12.086,12.520,14.500,14.417
A244,14.752,14.811,14.709,14.883,14.565,12.086,12.520,14.500
A245,13.570,14.752,14.811,14.709,14.883,14.565,12.086,12.520
A246,12.423,13.570,14.752,14.811,14.709,14.883,14.565,12.086
A247,14.664,12.423,13.570,14.752,14.811,14.709,14.883,14.565
A248,14.871,14.664,12.423,13.570,14.752,14.811,14.709,14.883
A249,14.952,14.871,14.664,12.423,13.570,14.752,14.811,14.709
A250,15.047,14.952,14.871,14.664,12.423,13.570,14.752,14.811
A251,15.074,15.047,14.952,14.871,14.664,12.423,13.570,14.752
A252,13.852,15.074,15.047,14.952,14.871,14.664,12.423,13.570
A253,12.572,13.852,15.074,15.047,14.952,14.871,14.664,12.423
A254,14.915,12.572,13.852,15.074,15.047,14.952,14.871,14.664
A255,14.988,14.915,12.572,13.852,15.074,15.047,14.952,14.871
A256,14.934,14.988,14.915,12.572,13.852,15.074,15.047,14.952
A257,15.021,14.934,14.988,14.915,12.572,13.852,15.074,15.047
A258,15.014,15.021,14.934,14.988,14.915,12.572,13.852,15.074
A259,13.481,15.014,15.021,14.934,14.988,14.915,12.572,13.852
A260,12.183,13.481,15.014,15.021,14.934,14.988,14.915,12.572
A261,14.388,12.183,13.481,15.014,15.021,14.934,14.988,14.915
A262,14.636,14.388,12.183,13.481,15.014,15.021,14.934,14.988
A263,14.849,14.636,14.388,12.183,13.481,15.014,15.021,14.934
A264,14.940,14.849,14.636,14.388,12.183,13.481,15.014,15.021
A265,14.978,14.940,14.849,14.636,14.388,12.183,13.481,15.014
A266,13.563,14.978,14.940,14.849,14.636,14.388,12.183,13.481
A267,12.103,13.563,14.978,14.940,14.849,14.636,14.388,12.183
A268,14.484,12.103,13.563,14.978,14.940,14.849,14.636,14.388
A269,14.936,14.484,12.103,13.563,14.978,14.940,14.849,14.636
A270,15.050,14.936,14.484,12.103,13.563,14.978,14.940,14.849
A271,15.175,15.050,14.936,14.484,12.103,13.563,14.978,14.940
A272,15.000,15.175,15.050,14.936,14.484,12.103,13.563,14.978
A273,13.113,15.000,15.175,15.050,14.936,14.484,12.103,13.563
A274,11.989,13.113,15.000,15.175,15.050,14.936,14.484,12.103
A275,14.324,11.989,13.113,15.000,15.175,15.050,14.936,14.484
A276,14.551,14.324,11.989,13.113,15.000,15.175,15.050,14.936
A277,14.731,14.551,14.324,11.989,13.113,15.000,15.175,15.050
A278,14.818,14.731,14.551,14.324,11.989,13.113,15.000,15.175
A279,14.660,14.818,14.731,14.551,14.324,11.989,13.113,15.000
A280,13.454,14.660,14.818,14.731,14.551,14.324,11.989,13.113
A281,12.155,13.454,14.660,14.818,14.731,14.551,14.324,11.989
A282,14.611,12.155,13.454,14.660,14.818,14.731,14.551,14.324
A283,14.953,14.611,12.155,13.454,14.660,14.818,14.731,14.551
A284,14.934,14.953,14.611,12.155,13.454,14.660,14.818,14.731
A285,14.948,14.934,14.953,14.611,12.155,13.454,14.660,14.818
A286,14.843,14.948,14.934,14.953,14.611,12.155,13.454,14.660
A287,13.593,14.843,14.948,14.934,14.953,14.611,12.155,13.454
A288,12.151,13.593,14.843,14.948,14.934,14.953,14.611,12.155
A289,13.675,12.151,13.593,14.843,14.948,14.934,14.953,14.611
A290,15.016,13.675,12.151,13.593,14.843,14.948,14.934,14.953
A291,14.974,15.016,13.675,12.151,13.593,14.843,14.948,14.934
A292,15.030,14.974,15.016,13.675,12.151,13.593,14.843,14.948
A293,14.862,15.030,14.974,15.016,13.675,12.151,13.593,14.843
A294,13.028,14.862,15.030,14.974,15.016,13.675,12.151,13.593
A295,11.573,13.028,14.862,15.030,14.974,15.016,13.675,12.151
A296,14.439,11.573,13.028,14.862,15.030,14.974,15.016,13.675
A297,14.762,14.439,11.573,13.028,14.862,15.030,14.974,15.016
A298,14.786,14.762,14.439,11.573,13.028,14.862,15.030,14.974
A299,14.986,14.786,14.762,14.439,11.573,13.028,14.862,15.030
A300,14.943,14.986,14.786,14.762,14.439,11.573,13.028,14.862
A301,13.435,14.943,14.986,14.786,14.762,14.439,11.573,13.028
A302,12.137,13.435,14.943,14.986,14.786,14.762,14.439,11.573
A303,14.559,12.137,13.435,14.943,14.986,14.786,14.762,14.439
A304,14.991,14.559,12.137,13.435,14.943,14.986,14.786,14.762
A305,15.144,14.991,14.559,12.137,13.435,14.943,14.986,14.786
A306,15.043,15.144,14.991,14.559,12.137,13.435,14.943,14.986
A307,13.231,15.043,15.144,14.991,14.559,12.137,13.435,14.943
A308,13.428,13.231,15.043,15.144,14.991,14.559,12.137,13.435
A309,12.274,13.428,13.231,15.043,15.144,14.991,14.559,12.137
A310,14.540,12.274,13.428,13.231,15.043,15.144,14.991,14.559
A311,14.988,14.540,12.274,13.428,13.231,15.043,15.144,14.991
A312,14.974,14.988,14.540,12.274,13.428,13.231,15.043,15.144
A313,15.146,14.974,14.988,14.540,12.274,13.428,13.231,15.043
A314,15.117,15.146,14.974,14.988,14.540,12.274,13.428,13.231
A315,13.824,15.117,15.146,14.974,14.988,14.540,12.274,13.428
A316,12.614,13.824,15.117,15.146,14.974,14.988,14.540,12.274
A317,14.912,12.614,13.824,15.117,15.146,14.974,14.988,14.540
A318,15.238,14.912,12.614,13.824,15.117,15.146,14.974,14.988
A319,15.314,15.238,14.912,12.614,13.824,15.117,15.146,14.974
A320,15.330,15.314,15.238,14.912,12.614,13.824,15.117,15.146
A321,15.358,15.330,15.314,15.238,14.912,12.614,13.824,15.117
A322,14.087,15.358,15.330,15.314,15.238,14.912,12.614,13.824
A323,12.789,14.087,15.358,15.330,15.314,15.238,14.912,12.614
A324,14.866,12.789,14.087,15.358,15.330,15.314,15.238,14.912
A325,15.112,14.866,12.789,14.087,15.358,15.330,15.314,15.238
A326,15.317,15.112,14.866,12.789,14.087,15.358,15.330,15.314
A327,15.410,15.317,15.112,14.866,12.789,14.087,15.358,15.330
A328,15.339,15.410,15.317,15.112,14.866,12.789,14.087,15.358
A329,14.171,15.339,15.410,15.317,15.112,14.866,12.789,14.087
A330,12.610,14.171,15.339,15.410,15.317,15.112,14.866,12.789
A331,14.185,12.610,14.171,15.339,15.410,15.317,15.112,14.866
A332,14.097,14.185,12.610,14.171,15.339,15.410,15.317,15.112
A333,14.472,14.097,14.185,12.610,14.171,15.339,15.410,15.317
A334,14.823,14.472,14.097,14.185,12.610,14.171,15.339,15.410
A335,14.883,14.823,14.472,14.097,14.185,12.610,14.171,15.339
A336,13.814,14.883,14.823,14.472,14.097,14.185,12.610,14.171
A337,12.819,13.814,14.883,14.823,14.472,14.097,14.185,12.610
A338,15.101,12.819,13.814,14.883,14.823,14.472,14.097,14.185
A339,15.216,15.101,12.819,13.814,14.883,14.823,14.472,14.097
A340,15.045,15.216,15.101,12.819,13.814,14.883,14.823,14.472
A341,14.783,15.045,15.216,15.101,12.819,13.814,14.883,14.823
A342,14.518,14.783,15.045,15.216,15.101,12.819,13.814,14.883
A343,13.398,14.518,14.783,15.045,15.216,15.101,12.819,13.814
A344,12.606,13.398,14.518,14.783,15.045,15.216,15.101,12.819
A345,14.426,12.606,13.398,14.518,14.783,15.045,15.216,15.101
A346,13.877,14.426,12.606,13.398,14.518,14.783,15.045,15.216
A347,11.984,13.877,14.426,12.606,13.398,14.518,14.783,15.045
A348,14.009,11.984,13.877,14.426,12.606,13.398,14.518,14.783
A349,14.127,14.009,11.984,13.877,14.426,12.606,13.398,14.518
A350,13.194,14.127,14.009,11.984,13.877,14.426,12.606,13.398
A351,12.293,13.194,14.127,14.009,11.984,13.877,14.426,12.606
A352,13.922,12.293,13.194,14.127,14.009,11.984,13.877,14.426
A353,13.450,13.922,12.293,13.194,14.127,14.009,11.984,13.877
A354,11.937,13.450,13.922,12.293,13.194,14.127,14.009,11.984
A355,13.867,11.937,13.450,13.922,12.293,13.194,14.127,14.009
A356,14.381,13.867,11.937,13.450,13.922,12.293,13.194,14.127
A357,13.640,14.381,13.867,11.937,13.450,13.922,12.293,13.194
A358,12.632,13.640,14.381,13.867,11.937,13.450,13.922,12.293
A359,14.834,12.632,13.640,14.381,13.867,11.937,13.450,13.922
A360,15.115,14.834,12.632,13.640,14.381,13.867,11.937,13.450
A361,15.035,15.115,14.834,12.632,13.640,14.381,13.867,11.937
A362,14.979,15.035,15.115,14.834,12.632,13.640,14.381,13.867
A363,14.855,14.979,15.035,15.115,14.834,12.632,13.640,14.381
A364,13.632,14.855,14.979,15.035,15.115,14.834,12.632,13.640
A365,12.336,13.632,14.855,14.979,15.035,15.115,14.834,12.632
A366,14.622,12.336,13.632,14.855,14.979,15.035,15.115,14.834
A367,14.793,14.622,12.336,13.632,14.855,14.979,15.035,15.115
A368,14.835,14.793,14.622,12.336,13.632,14.855,14.979,15.035
A369,14.902,14.835,14.793,14.622,12.336,13.632,14.855,14.979
A370,14.771,14.902,14.835,14.793,14.622,12.336,13.632,14.855
A371,13.514,14.771,14.902,14.835,14.793,14.622,12.336,13.632
A372,12.029,13.514,14.771,14.902,14.835,14.793,14.622,12.336
A373,14.038,12.029,13.514,14.771,14.902,14.835,14.793,14.622
A374,14.101,14.038,12.029,13.514,14.771,14.902,14.835,14.793
A375,13.988,14.101,14.038,12.029,13.514,14.771,14.902,14.835
A376,13.960,13.988,14.101,14.038,12.029,13.514,14.771,14.902
A377,14.132,13.960,13.988,14.101,14.038,12.029,13.514,14.771
A378,13.215,14.132,13.960,13.988,14.101,14.038,12.029,13.514
A379,11.923,13.215,14.132,13.960,13.988,14.101,14.038,12.029
A380,13.675,11.923,13.215,14.132,13.960,13.988,14.101,14.038
A381,13.536,13.675,11.923,13.215,14.132,13.960,13.988,14.101
A382,13.903,13.536,13.675,11.923,13.215,14.132,13.960,13.988
A383,14.077,13.903,13.536,13.675,11.923,13.215,14.132,13.960
A384,13.811,14.077,13.903,13.536,13.675,11.923,13.215,14.132
A385,12.497,13.811,14.077,13.903,13.536,13.675,11.923,13.215
A386,11.155,12.497,13.811,14.077,13.903,13.536,13.675,11.923
A387,13.461,11.155,12.497,13.811,14.077,13.903,13.536,13.675
A388,13.873,13.461,11.155,12.497,13.811,14.077,13.903,13.536
A389,14.010,13.873,13.461,11.155,12.497,13.811,14.077,13.903
A390,14.018,14.010,13.873,13.461,11.155,12.497,13.811,14.077
A391,14.234,14.018,14.010,13.873,13.461,11.155,12.497,13.811
A392,13.141,14.234,14.018,14.010,13.873,13.461,11.155,12.497
A393,11.843,13.141,14.234,14.018,14.010,13.873,13.461,11.155
A394,13.737,11.843,13.141,14.234,14.018,14.010,13.873,13.461
A395,14.272,13.737,11.843,13.141,14.234,14.018,14.010,13.873
A396,14.312,14.272,13.737,11.843,13.141,14.234,14.018,14.010
A397,14.081,14.312,14.272,13.737,11.843,13.141,14.234,14.018
A398,13.844,14.081,14.312,14.272,13.737,11.843,13.141,14.234
