DT,Y,D1,D2,D3,D4,D5,D6,D7
A924,13.937,15.274,15.731,15.851,15.500,14.768,12.416,14.110
A925,12.934,13.937,15.274,15.731,15.851,15.500,14.768,12.416
A926,15.511,12.934,13.937,15.274,15.731,15.851,15.500,14.768
A927,15.741,15.511,12.934,13.937,15.274,15.731,15.851,15.500
A928,15.706,15.741,15.511,12.934,13.937,15.274,15.731,15.851
A929,15.943,15.706,15.741,15.511,12.934,13.937,15.274,15.731
A930,15.931,15.943,15.706,15.741,15.511,12.934,13.937,15.274
A931,14.561,15.931,15.943,15.706,15.741,15.511,12.934,13.937
A932,13.221,14.561,15.931,15.943,15.706,15.741,15.511,12.934
A933,15.912,13.221,14.561,15.931,15.943,15.706,15.741,15.511
A934,16.321,15.912,13.221,14.561,15.931,15.943,15.706,15.741
A935,16.445,16.321,15.912,13.221,14.561,15.931,15.943,15.706
A936,16.257,16.445,16.321,15.912,13.221,14.561,15.931,15.943
A937,16.298,16.257,16.445,16.321,15.912,13.221,14.561,15.931
A938,14.355,16.298,16.257,16.445,16.321,15.912,13.221,14.561
A939,12.990,14.355,16.298,16.257,16.445,16.321,15.912,13.221
A940,16.113,12.990,14.355,16.298,16.257,16.445,16.321,15.912
A941,16.508,16.113,12.990,14.355,16.298,16.257,16.445,16.321
A942,16.277,16.508,16.113,12.990,14.355,16.298,16.257,16.445
A943,16.186,16.277,16.508,16.113,12.990,14.355,16.298,16.257
A944,16.238,16.186,16.277,16.508,16.113,12.990,14.355,16.298
A945,14.996,16.238,16.186,16.277,16.508,16.113,12.990,14.355
A946,13.592,14.996,16.238,16.186,16.277,16.508,16.113,12.990
A947,16.413,13.592,14.996,16.238,16.186,16.277,16.508,16.113
A948,16.799,16.413,13.592,14.996,16.238,16.186,16.277,16.508
A949,16.915,16.799,16.413,13.592,14.996,16.238,16.186,16.277
A950,16.750,16.915,16.799,16.413,13.592,14.996,16.238,16.186
A951,16.685,16.750,16.915,16.799,16.413,13.592,14.996,16.238
A952,15.004,16.685,16.750,16.915,16.799,16.413,13.592,14.996
A953,13.497,15.004,16.685,16.750,16.915,16.799,16.413,13.592
A954,16.178,13.497,15.004,16.685,16.750,16.915,16.799,16.413
A955,16.505,16.178,13.497,15.004,16.685,16.750,16.915,16.799
A956,16.733,16.505,16.178,13.497,15.004,16.685,16.750,16.915
A957,16.757,16.733,16.505,16.178,13.497,15.004,16.685,16.750
A958,16.756,16.757,16.733,16.505,16.178,13.497,15.004,16.685
A959,15.192,16.756,16.757,16.733,16.505,16.178,13.497,15.004
A960,13.855,15.192,16.756,16.757,16.733,16.505,16.178,13.497
A961,16.699,13.855,15.192,16.756,16.757,16.733,16.505,16.178
A962,16.933,16.699,13.855,15.192,16.756,16.757,16.733,16.505
A963,16.581,16.933,16.699,13.855,15.192,16.756,16.757,16.733
A964,16.773,16.581,16.933,16.699,13.855,15.192,16.756,16.757
A965,16.682,16.773,16.581,16.933,16.699,13.855,15.192,16.756
A966,15.137,16.682,16.773,16.581,16.933,16.699,13.855,15.192
A967,13.815,15.137,16.682,16.773,16.581,16.933,16.699,13.855
A968,15.849,13.815,15.137,16.682,16.773,16.581,16.933,16.699
A969,14.107,15.849,13.815,15.137,16.682,16.773,16.581,16.933
A970,16.722,14.107,15.849,13.815,15.137,16.682,16.773,16.581
A971,16.950,16.722,14.107,15.849,13.815,15.137,16.682,16.773
A972,16.968,16.950,16.722,14.107,15.849,13.815,15.137,16.682
A973,15.592,16.968,16.950,16.722,14.107,15.849,13.815,15.137
A974,13.765,15.592,16.968,16.950,16.722,14.107,15.849,13.815
A975,16.213,13.765,15.592,16.968,16.950,16.722,14.107,15.849
A976,16.712,16.213,13.765,15.592,16.968,16.950,16.722,14.107
A977,17.170,16.712,16.213,13.765,15.592,16.968,16.950,16.722
A978,16.930,17.170,16.712,16.213,13.765,15.592,16.968,16.950
A979,16.770,16.930,17.170,16.712,16.213,13.765,15.592,16.968
A980,15.311,16.770,16.930,17.170,16.712,16.213,13.765,15.592
A981,13.939,15.311,16.770,16.930,17.170,16.712,16.213,13.765
A982,16.875,13.939,15.311,16.770,16.930,17.170,16.712,16.213
A983,17.289,16.875,13.939,15.311,16.770,16.930,17.170,16.712
A984,17.270,17.289,16.875,13.939,15.311,16.770,16.930,17.170
A985,17.257,17.270,17.289,16.875,13.939,15.311,16.770,16.930
A986,17.385,17.257,17.270,17.289,16.875,13.939,15.311,16.770
A987,15.574,17.385,17.257,17.270,17.289,16.875,13.939,15.311
A988,14.018,15.574,17.385,17.257,17.270,17.289,16.875,13.939
A989,16.727,14.018,15.574,17.385,17.257,17.270,17.289,16.875
A990,16.925,16.727,14.018,15.574,17.385,17.257,17.270,17.289
A991,16.910,16.925,16.727,14.018,15.574,17.385,17.257,17.270
A992,16.793,16.910,16.925,16.727,14.018,15.574,17.385,17.257
A993,16.439,16.793,16.910,16.925,16.727,14.018,15.574,17.385
A994,15.243,16.439,16.793,16.910,16.925,16.727,14.018,15.574
A995,13.639,15.243,16.439,16.793,16.910,16.925,16.727,14.018
A996,16.220,13.639,15.243,16.439,16.793,16.910,16.925,16.727
A997,16.909,16.220,13.639,15.243,16.439,16.793,16.910,16.925
A998,16.994,16.909,16.220,13.639,15.243,16.439,16.793,16.910
A999,16.934,16.994,16.909,16.220,13.639,15.243,16.439,16.793
A1000,17.055,16.934,16.994,16.909,16.220,13.639,15.243,16.439
A1001,15.523,17.055,16.934,16.994,16.909,16.220,13.639,15.243
A1002,13.862,15.523,17.055,16.934,16.994,16.909,16.220,13.639
A1003,16.393,13.862,15.523,17.055,16.934,16.994,16.909,16.220
A1004,14.685,16.393,13.862,15.523,17.055,16.934,16.994,16.909
A1005,17.446,14.685,16.393,13.862,15.523,17.055,16.934,16.994
A1006,17.658,17.446,14.685,16.393,13.862,15.523,17.055,16.934
A1007,17.600,17.658,17.446,14.685,16.393,13.862,15.523,17.055
A1008,16.078,17.600,17.658,17.446,14.685,16.393,13.862,15.523
A1009,14.300,16.078,17.600,17.658,17.446,14.685,16.393,13.862
A1010,17.177,14.300,16.078,17.600,17.658,17.446,14.685,16.393
A1011,17.468,17.177,14.300,16.078,17.600,17.658,17.446,14.685
A1012,17.350,17.468,17.177,14.300,16.078,17.600,17.658,17.446
A1013,17.338,17.350,17.468,17.177,14.300,16.078,17.600,17.658
A1014,17.206,17.338,17.350,17.468,17.177,14.300,16.078,17.600
A1015,15.678,17.206,17.338,17.350,17.468,17.177,14.300,16.078
A1016,14.035,15.678,17.206,17.338,17.350,17.468,17.177,14.300
A1017,16.164,14.035,15.678,17.206,17.338,17.350,17.468,17.177
A1018,17.077,16.164,14.035,15.678,17.206,17.338,17.350,17.468
A1019,16.648,17.077,16.164,14.035,15.678,17.206,17.338,17.350
A1020,16.738,16.648,17.077,16.164,14.035,15.678,17.206,17.338
A1021,16.979,16.738,16.648,17.077,16.164,14.035,15.678,17.206
A1022,15.414,16.979,16.738,16.648,17.077,16.164,14.035,15.678
A1023,13.835,15.414,16.979,16.738,16.648,17.077,16.164,14.035
A1024,16.214,13.835,15.414,16.979,16.738,16.648,17.077,16.164
A1025,13.430,16.214,13.835,15.414,16.979,16.738,16.648,17.077
A1026,16.910,13.430,16.214,13.835,15.414,16.979,16.738,16.648
A1027,17.258,16.910,13.430,16.214,13.835,15.414,16.979,16.738
A1028,17.412,17.258,16.910,13.430,16.214,13.835,15.414,16.979
A1029,16.013,17.412,17.258,16.910,13.430,16.214,13.835,15.414
A1030,14.401,16.013,17.412,17.258,16.910,13.430,16.214,13.835
A1031,17.045,14.401,16.013,17.412,17.258,16.910,13.430,16.214
A1032,17.425,17.045,14.401,16.013,17.412,17.258,16.910,13.430
A1033,17.361,17.425,17.045,14.401,16.013,17.412,17.258,16.910
A1034,17.303,17.361,17.425,17.045,14.401,16.013,17.412,17.258
A1035,17.505,17.303,17.361,17.425,17.045,14.401,16.013,17.412
A1036,15.983,17.505,17.303,17.361,17.425,17.045,14.401,16.013
A1037,14.373,15.983,17.505,17.303,17.361,17.425,17.045,14.401
A1038,14.462,14.373,15.983,17.505,17.303,17.361,17.425,17.045
A1039,17.084,14.462,14.373,15.983,17.505,17.303,17.361,17.425
A1040,17.528,17.084,14.462,14.373,15.983,17.505,17.303,17.361
A1041,17.771,17.528,17.084,14.462,14.373,15.983,17.505,17.303
A1042,17.774,17.771,17.528,17.084,14.462,14.373,15.983,17.505
A1043,16.280,17.774,17.771,17.528,17.084,14.462,14.373,15.983
A1044,14.597,16.280,17.774,17.771,17.528,17.084,14.462,14.373
A1045,17.289,14.597,16.280,17.774,17.771,17.528,17.084,14.462
A1046,17.758,17.289,14.597,16.280,17.774,17.771,17.528,17.084
A1047,17.557,17.758,17.289,14.597,16.280,17.774,17.771,17.528
A1048,17.626,17.557,17.758,17.289,14.597,16.280,17.774,17.771
A1049,17.401,17.626,17.557,17.758,17.289,14.597,16.280,17.774
A1050,15.935,17.401,17.626,17.557,17.758,17.289,14.597,16.280
A1051,14.542,15.935,17.401,17.626,17.557,17.758,17.289,14.597
A1052,17.624,14.542,15.935,17.401,17.626,17.557,17.758,17.289
A1053,17.975,17.624,14.542,15.935,17.401,17.626,17.557,17.758
A1054,17.759,17.975,17.624,14.542,15.935,17.401,17.626,17.557
A1055,17.831,17.759,17.975,17.624,14.542,15.935,17.401,17.626
A1056,17.695,17.831,17.759,17.975,17.624,14.542,15.935,17.401
A1057,16.191,17.695,17.831,17.759,17.975,17.624,14.542,15.935
A1058,14.758,16.191,17.695,17.831,17.759,17.975,17.624,14.542
A1059,17.413,14.758,16.191,17.695,17.831,17.759,17.975,17.624
A1060,17.886,17.413,14.758,16.191,17.695,17.831,17.759,17.975
A1061,16.370,17.886,17.413,14.758,16.191,17.695,17.831,17.759
A1062,17.626,16.370,17.886,17.413,14.758,16.191,17.695,17.831
A1063,17.660,17.626,16.370,17.886,17.413,14.758,16.191,17.695
A1064,16.062,17.660,17.626,16.370,17.886,17.413,14.758,16.191
A1065,14.697,16.062,17.660,17.626,16.370,17.886,17.413,14.758
A1066,17.484,14.697,16.062,17.660,17.626,16.370,17.886,17.413
A1067,17.825,17.484,14.697,16.062,17.660,17.626,16.370,17.886
A1068,17.776,17.825,17.484,14.697,16.062,17.660,17.626,16.370
A1069,17.679,17.776,17.825,17.484,14.697,16.062,17.660,17.626
A1070,17.430,17.679,17.776,17.825,17.484,14.697,16.062,17.660
A1071,15.913,17.430,17.679,17.776,17.825,17.484,14.697,16.062
A1072,14.563,15.913,17.430,17.679,17.776,17.825,17.484,14.697
A1073,17.172,14.563,15.913,17.430,17.679,17.776,17.825,17.484
A1074,17.395,17.172,14.563,15.913,17.430,17.679,17.776,17.825
A1075,17.368,17.395,17.172,14.563,15.913,17.430,17.679,17.776
A1076,17.063,17.368,17.395,17.172,14.563,15.913,17.430,17.679
A1077,15.438,17.063,17.368,17.395,17.172,14.563,15.913,17.430
A1078,13.326,15.438,17.063,17.368,17.395,17.172,14.563,15.913
A1079,13.757,13.326,15.438,17.063,17.368,17.395,17.172,14.563
A1080,15.880,13.757,13.326,15.438,17.063,17.368,17.395,17.172
A1081,15.708,15.880,13.757,13.326,15.438,17.063,17.368,17.395
A1082,15.896,15.708,15.880,13.757,13.326,15.438,17.063,17.368
A1083,16.352,15.896,15.708,15.880,13.757,13.326,15.438,17.063
A1084,15.275,16.352,15.896,15.708,15.880,13.757,13.326,15.438
A1085,13.646,15.275,16.352,15.896,15.708,15.880,13.757,13.326
A1086,13.740,13.646,15.275,16.352,15.896,15.708,15.880,13.757
A1087,16.258,13.740,13.646,15.275,16.352,15.896,15.708,15.880
A1088,17.121,16.258,13.740,13.646,15.275,16.352,15.896,15.708
A1089,17.348,17.121,16.258,13.740,13.646,15.275,16.352,15.896
A1090,17.484,17.348,17.121,16.258,13.740,13.646,15.275,16.352
A1091,17.440,17.484,17.348,17.121,16.258,13.740,13.646,15.275
A1092,16.009,17.440,17.484,17.348,17.121,16.258,13.740,13.646
A1093,14.485,16.009,17.440,17.484,17.348,17.121,16.258,13.740
A1094,16.826,14.485,16.009,17.440,17.484,17.348,17.121,16.258
A1095,17.106,16.826,14.485,16.009,17.440,17.484,17.348,17.121
A1096,17.197,17.106,16.826,14.485,16.009,17.440,17.484,17.348
A1097,17.293,17.197,17.106,16.826,14.485,16.009,17.440,17.484
A1098,17.438,17.293,17.197,17.106,16.826,14.485,16.009,17.440
A1099,15.822,17.438,17.293,17.197,17.106,16.826,14.485,16.009
A1100,13.956,15.822,17.438,17.293,17.197,17.106,16.826,14.485
A1101,16.383,13.956,15.822,17.438,17.293,17.197,17.106,16.826
A1102,16.080,16.383,13.956,15.822,17.438,17.293,17.197,17.106
A1103,15.845,16.080,16.383,13.956,15.822,17.438,17.293,17.197
A1104,16.426,15.845,16.080,16.383,13.956,15.822,17.438,17.293
A1105,16.351,16.426,15.845,16.080,16.383,13.956,15.822,17.438
A1106,14.892,16.351,16.426,15.845,16.080,16.383,13.956,15.822
A1107,13.556,14.892,16.351,16.426,15.845,16.080,16.383,13.956
A1108,16.183,13.556,14.892,16.351,16.426,15.845,16.080,16.383
A1109,16.767,16.183,13.556,14.892,16.351,16.426,15.845,16.080
A1110,16.495,16.767,16.183,13.556,14.892,16.351,16.426,15.845
A1111,16.636,16.495,16.767,16.183,13.556,14.892,16.351,16.426
A1112,16.757,16.636,16.495,16.767,16.183,13.556,14.892,16.351
A1113,15.659,16.757,16.636,16.495,16.767,16.183,13.556,14.892
A1114,14.264,15.659,16.757,16.636,16.495,16.767,16.183,13.556
A1115,16.512,14.264,15.659,16.757,16.636,16.495,16.767,16.183
A1116,16.671,16.512,14.264,15.659,16.757,16.636,16.495,16.767
A1117,16.733,16.671,16.512,14.264,15.659,16.757,16.636,16.495
A1118,16.617,16.733,16.671,16.512,14.264,15.659,16.757,16.636
A1119,16.130,16.617,16.733,16.671,16.512,14.264,15.659,16.757
A1120,14.693,16.130,16.617,16.733,16.671,16.512,14.264,15.659
A1121,13.613,14.693,16.130,16.617,16.733,16.671,16.512,14.264
A1122,14.721,13.613,14.693,16.130,16.617,16.733,16.671,16.512
A1123,14.060,14.721,13.613,14.693,16.130,16.617,16.733,16.671
A1124,15.908,14.060,14.721,13.613,14.693,16.130,16.617,16.733
A1125,17.013,15.908,14.060,14.721,13.613,14.693,16.130,16.617
A1126,17.243,17.013,15.908,14.060,14.721,13.613,14.693,16.130
A1127,15.753,17.243,17.013,15.908,14.060,14.721,13.613,14.693
A1128,14.070,15.753,17.243,17.013,15.908,14.060,14.721,13.613
A1129,16.332,14.070,15.753,17.243,17.013,15.908,14.060,14.721
A1130,16.454,16.332,14.070,15.753,17.243,17.013,15.908,14.060
A1131,16.647,16.454,16.332,14.070,15.753,17.243,17.013,15.908
A1132,16.732,16.647,16.454,16.332,14.070,15.753,17.243,17.013
A1133,16.540,16.732,16.647,16.454,16.332,14.070,15.753,17.243
A1134,16.175,16.540,16.732,16.647,16.454,16.332,14.070,15.753
A1135,14.045,16.175,16.540,16.732,16.647,16.454,16.332,14.070
A1136,16.671,14.045,16.175,16.540,16.732,16.647,16.454,16.332
A1137,16.472,16.671,14.045,16.175,16.540,16.732,16.647,16.454
A1138,16.423,16.472,16.671,14.045,16.175,16.540,16.732,16.647
A1139,16.625,16.423,16.472,16.671,14.045,16.175,16.540,16.732
A1140,16.638,16.625,16.423,16.472,16.671,14.045,16.175,16.540
A1141,15.339,16.638,16.625,16.423,16.472,16.671,14.045,16.175
A1142,13.673,15.339,16.638,16.625,16.423,16.472,16.671,14.045
A1143,16.744,13.673,15.339,16.638,16.625,16.423,16.472,16.671
A1144,16.956,16.744,13.673,15.339,16.638,16.625,16.423,16.472
A1145,17.013,16.956,16.744,13.673,15.339,16.638,16.625,16.423
A1146,17.307,17.013,16.956,16.744,13.673,15.339,16.638,16.625
A1147,17.054,17.307,17.013,16.956,16.744,13.673,15.339,16.638
A1148,15.523,17.054,17.307,17.013,16.956,16.744,13.673,15.339
A1149,13.891,15.523,17.054,17.307,17.013,16.956,16.744,13.673
A1150,17.177,13.891,15.523,17.054,17.307,17.013,16.956,16.744
A1151,17.565,17.177,13.891,15.523,17.054,17.307,17.013,16.956
A1152,17.342,17.565,17.177,13.891,15.523,17.054,17.307,17.013
A1153,17.242,17.342,17.565,17.177,13.891,15.523,17.054,17.307
A1154,17.360,17.242,17.342,17.565,17.177,13.891,15.523,17.054
A1155,15.534,17.360,17.242,17.342,17.565,17.177,13.891,15.523
A1156,13.880,15.534,17.360,17.242,17.342,17.565,17.177,13.891
A1157,16.186,13.880,15.534,17.360,17.242,17.342,17.565,17.177
A1158,16.784,16.186,13.880,15.534,17.360,17.242,17.342,17.565
A1159,17.086,16.784,16.186,13.880,15.534,17.360,17.242,17.342
A1160,17.290,17.086,16.784,16.186,13.880,15.534,17.360,17.242
A1161,17.236,17.290,17.086,16.784,16.186,13.880,15.534,17.360
A1162,15.140,17.236,17.290,17.086,16.784,16.186,13.880,15.534
A1163,13.809,15.140,17.236,17.290,17.086,16.784,16.186,13.880
A1164,16.665,13.809,15.140,17.236,17.290,17.086,16.784,16.186
A1165,16.749,16.665,13.809,15.140,17.236,17.290,17.086,16.784
A1166,16.680,16.749,16.665,13.809,15.140,17.236,17.290,17.086
A1167,15.771,16.680,16.749,16.665,13.809,15.140,17.236,17.290
A1168,13.106,15.771,16.680,16.749,16.665,13.809,15.140,17.236
A1169,14.271,13.106,15.771,16.680,16.749,16.665,13.809,15.140
A1170,13.537,14.271,13.106,15.771,16.680,16.749,16.665,13.809
A1171,16.191,13.537,14.271,13.106,15.771,16.680,16.749,16.665
A1172,16.559,16.191,13.537,14.271,13.106,15.771,16.680,16.749
A1173,16.649,16.559,16.191,13.537,14.271,13.106,15.771,16.680
A1174,16.374,16.649,16.559,16.191,13.537,14.271,13.106,15.771
A1175,16.469,16.374,16.649,16.559,16.191,13.537,14.271,13.106
A1176,15.515,16.469,16.374,16.649,16.559,16.191,13.537,14.271
A1177,14.062,15.515,16.469,16.374,16.649,16.559,16.191,13.537
A1178,16.406,14.062,15.515,16.469,16.374,16.649,16.559,16.191
A1179,16.851,16.406,14.062,15.515,16.469,16.374,16.649,16.559
A1180,16.900,16.851,16.406,14.062,15.515,16.469,16.374,16.649
A1181,17.299,16.900,16.851,16.406,14.062,15.515,16.469,16.374
A1182,17.441,17.299,16.900,16.851,16.406,14.062,15.515,16.469
A1183,15.386,17.441,17.299,16.900,16.851,16.406,14.062,15.515
A1184,13.971,15.386,17.441,17.299,16.900,16.851,16.406,14.062
A1185,16.755,13.971,15.386,17.441,17.299,16.900,16.851,16.406
A1186,17.221,16.755,13.971,15.386,17.441,17.299,16.900,16.851
A1187,17.255,17.221,16.755,13.971,15.386,17.441,17.299,16.900
A1188,17.300,17.255,17.221,16.755,13.971,15.386,17.441,17.299
A1189,17.113,17.300,17.255,17.221,16.755,13.971,15.386,17.441
A1190,15.717,17.113,17.300,17.255,17.221,16.755,13.971,15.386
A1191,14.359,15.717,17.113,17.300,17.255,17.221,16.755,13.971
A1192,17.329,14.359,15.717,17.113,17.300,17.255,17.221,16.755
A1193,17.529,17.329,14.359,15.717,17.113,17.300,17.255,17.221
A1194,17.013,17.529,17.329,14.359,15.717,17.113,17.300,17.255
A1195,14.751,17.013,17.529,17.329,14.359,15.717,17.113,17.300
A1196,16.581,14.751,17.013,17.529,17.329,14.359,15.717,17.113
A1197,15.725,16.581,14.751,17.013,17.529,17.329,14.359,15.717
A1198,14.217,15.725,16.581,14.751,17.013,17.529,17.329,14.359
A1199,16.297,14.217,15.725,16.581,14.751,17.013,17.529,17.329
A1200,17.237,16.297,14.217,15.725,16.581,14.751,17.013,17.529
A1201,17.428,17.237,16.297,14.217,15.725,16.581,14.751,17.013
A1202,17.042,17.428,17.237,16.297,14.217,15.725,16.581,14.751
A1203,16.592,17.042,17.428,17.237,16.297,14.217,15.725,16.581
A1204,15.319,16.592,17.042,17.428,17.237,16.297,14.217,15.725
A1205,13.836,15.319,16.592,17.042,17.428,17.237,16.297,14.217
A1206,16.841,13.836,15.319,16.592,17.042,17.428,17.237,16.297
A1207,16.900,16.841,13.836,15.319,16.592,17.042,17.428,17.237
A1208,17.175,16.900,16.841,13.836,15.319,16.592,17.042,17.428
A1209,16.959,17.175,16.900,16.841,13.836,15.319,16.592,17.042
A1210,17.173,16.959,17.175,16.900,16.841,13.836,15.319,16.592
A1211,15.555,17.173,16.959,17.175,16.900,16.841,13.836,15.319
A1212,13.952,15.555,17.173,16.959,17.175,16.900,16.841,13.836
A1213,16.902,13.952,15.555,17.173,16.959,17.175,16.900,16.841
A1214,17.311,16.902,13.952,15.555,17.173,16.959,17.175,16.900
A1215,17.584,17.311,16.902,13.952,15.555,17.173,16.959,17.175
A1216,17.790,17.584,17.311,16.902,13.952,15.555,17.173,16.959
A1217,17.613,17.790,17.584,17.311,16.902,13.952,15.555,17.173
A1218,16.156,17.613,17.790,17.584,17.311,16.902,13.952,15.555
A1219,14.646,16.156,17.613,17.790,17.584,17.311,16.902,13.952
A1220,17.270,14.646,16.156,17.613,17.790,17.584,17.311,16.902
A1221,17.249,17.270,14.646,16.156,17.613,17.790,17.584,17.311
A1222,17.398,17.249,17.270,14.646,16.156,17.613,17.790,17.584
A1223,17.022,17.398,17.249,17.270,14.646,16.156,17.613,17.790
A1224,16.982,17.022,17.398,17.249,17.270,14.646,16.156,17.613
A1225,15.316,16.982,17.022,17.398,17.249,17.270,14.646,16.156
A1226,13.770,15.316,16.982,17.022,17.398,17.249,17.270,14.646
A1227,16.529,13.770,15.316,16.982,17.022,17.398,17.249,17.270
A1228,16.938,16.529,13.770,15.316,16.982,17.022,17.398,17.249
A1229,17.152,16.938,16.529,13.770,15.316,16.982,17.022,17.398
A1230,14.513,17.152,16.938,16.529,13.770,15.316,16.982,17.022
A1231,16.439,14.513,17.152,16.938,16.529,13.770,15.316,16.982
A1232,15.604,16.439,14.513,17.152,16.938,16.529,13.770,15.316
A1233,13.968,15.604,16.439,14.513,17.152,16.938,16.529,13.770
A1234,16.700,13.968,15.604,16.439,14.513,17.152,16.938,16.529
A1235,17.253,16.700,13.968,15.604,16.439,14.513,17.152,16.938
A1236,17.082,17.253,16.700,13.968,15.604,16.439,14.513,17.152
A1237,17.356,17.082,17.253,16.700,13.968,15.604,16.439,14.513
A1238,17.359,17.356,17.082,17.253,16.700,13.968,15.604,16.439
A1239,16.002,17.359,17.356,17.082,17.253,16.700,13.968,15.604
A1240,14.732,16.002,17.359,17.356,17.082,17.253,16.700,13.968
A1241,17.294,14.732,16.002,17.359,17.356,17.082,17.253,16.700
A1242,17.434,17.294,14.732,16.002,17.359,17.356,17.082,17.253
A1243,17.715,17.434,17.294,14.732,16.002,17.359,17.356,17.082
A1244,17.732,17.715,17.434,17.294,14.732,16.002,17.359,17.356
A1245,17.740,17.732,17.715,17.434,17.294,14.732,16.002,17.359
A1246,16.084,17.740,17.732,17.715,17.434,17.294,14.732,16.002
A1247,14.687,16.084,17.740,17.732,17.715,17.434,17.294,14.732
A1248,17.449,14.687,16.084,17.740,17.732,17.715,17.434,17.294
A1249,17.901,17.449,14.687,16.084,17.740,17.732,17.715,17.434
A1250,17.818,17.901,17.449,14.687,16.084,17.740,17.732,17.715
A1251,18.046,17.818,17.901,17.449,14.687,16.084,17.740,17.732
A1252,18.007,18.046,17.818,17.901,17.449,14.687,16.084,17.740
A1253,16.496,18.007,18.046,17.818,17.901,17.449,14.687,16.084
A1254,14.961,16.496,18.007,18.046,17.818,17.901,17.449,14.687
A1255,17.757,14.961,16.496,18.007,18.046,17.818,17.901,17.449
A1256,18.140,17.757,14.961,16.496,18.007,18.046,17.818,17.901
A1257,17.921,18.140,17.757,14.961,16.496,18.007,18.046,17.818
A1258,17.802,17.921,18.140,17.757,14.961,16.496,18.007,18.046
A1259,17.555,17.802,17.921,18.140,17.757,14.961,16.496,18.007
A1260,16.055,17.555,17.802,17.921,18.140,17.757,14.961,16.496
A1261,14.466,16.055,17.555,17.802,17.921,18.140,17.757,14.961
A1262,17.383,14.466,16.055,17.555,17.802,17.921,18.140,17.757
A1263,17.850,17.383,14.466,16.055,17.555,17.802,17.921,18.140
A1264,18.172,17.850,17.383,14.466,16.055,17.555,17.802,17.921
A1265,18.062,18.172,17.850,17.383,14.466,16.055,17.555,17.802
A1266,17.744,18.062,18.172,17.850,17.383,14.466,16.055,17.555
A1267,15.726,17.744,18.062,18.172,17.850,17.383,14.466,16.055
A1268,14.449,15.726,17.744,18.062,18.172,17.850,17.383,14.466
A1269,17.323,14.449,15.726,17.744,18.062,18.172,17.850,17.383
A1270,17.223,17.323,14.449,15.726,17.744,18.062,18.172,17.850
A1271,17.490,17.223,17.323,14.449,15.726,17.744,18.062,18.172
A1272,17.714,17.490,17.223,17.323,14.449,15.726,17.744,18.062
A1273,17.220,17.714,17.490,17.223,17.323,14.449,15.726,17.744
A1274,15.666,17.220,17.714,17.490,17.223,17.323,14.449,15.726
A1275,13.960,15.666,17.220,17.714,17.490,17.223,17.323,14.449
A1276,17.000,13.960,15.666,17.220,17.714,17.490,17.223,17.323
A1277,17.572,17.000,13.960,15.666,17.220,17.714,17.490,17.223
A1278,17.657,17.572,17.000,13.960,15.666,17.220,17.714,17.490
A1279,17.423,17.657,17.572,17.000,13.960,15.666,17.220,17.714
A1280,17.266,17.423,17.657,17.572,17.000,13.960,15.666,17.220
A1281,15.808,17.266,17.423,17.657,17.572,17.000,13.960,15.666
A1282,14.379,15.808,17.266,17.423,17.657,17.572,17.000,13.960
A1283,17.205,14.379,15.808,17.266,17.423,17.657,17.572,17.000
A1284,17.718,17.205,14.379,15.808,17.266,17.423,17.657,17.572
A1285,17.615,17.718,17.205,14.379,15.808,17.266,17.423,17.657
A1286,17.636,17.615,17.718,17.205,14.379,15.808,17.266,17.423
A1287,17.262,17.636,17.615,17.718,17.205,14.379,15.808,17.266
A1288,15.468,17.262,17.636,17.615,17.718,17.205,14.379,15.808
A1289,14.273,15.468,17.262,17.636,17.615,17.718,17.205,14.379
A1290,17.263,14.273,15.468,17.262,17.636,17.615,17.718,17.205
A1291,17.441,17.263,14.273,15.468,17.262,17.636,17.615,17.718
A1292,17.741,17.441,17.263,14.273,15.468,17.262,17.636,17.615
A1293,17.764,17.741,17.441,17.263,14.273,15.468,17.262,17.636
A1294,17.474,17.764,17.741,17.441,17.263,14.273,15.468,17.262
A1295,15.813,17.474,17.764,17.741,17.441,17.263,14.273,15.468
A1296,14.631,15.813,17.474,17.764,17.741,17.441,17.263,14.273
A1297,17.545,14.631,15.813,17.474,17.764,17.741,17.441,17.263
A1298,18.272,17.545,14.631,15.813,17.474,17.764,17.741,17.441
A1299,18.420,18.272,17.545,14.631,15.813,17.474,17.764,17.741
A1300,18.601,18.420,18.272,17.545,14.631,15.813,17.474,17.764
A1301,18.613,18.601,18.420,18.272,17.545,14.631,15.813,17.474
A1302,16.996,18.613,18.601,18.420,18.272,17.545,14.631,15.813
A1303,15.467,16.996,18.613,18.601,18.420,18.272,17.545,14.631
A1304,18.449,15.467,16.996,18.613,18.601,18.420,18.272,17.545
A1305,18.789,18.449,15.467,16.996,18.613,18.601,18.420,18.272
A1306,18.668,18.789,18.449,15.467,16.996,18.613,18.601,18.420
A1307,18.499,18.668,18.789,18.449,15.467,16.996,18.613,18.601
A1308,18.179,18.499,18.668,18.789,18.449,15.467,16.996,18.613
A1309,16.491,18.179,18.499,18.668,18.789,18.449,15.467,16.996
A1310,14.993,16.491,18.179,18.499,18.668,18.789,18.449,15.467
A1311,15.838,14.993,16.491,18.179,18.499,18.668,18.789,18.449
A1312,18.208,15.838,14.993,16.491,18.179,18.499,18.668,18.789
A1313,18.251,18.208,15.838,14.993,16.491,18.179,18.499,18.668
