ITEM,Consumo
11/04/2002,13372.6811510262
12/04/2002,13085.4694296045
13/04/2002,12347.0125371327
14/04/2002,11336.8693059298
15/04/2002,13403.7508881570
16/04/2002,13064.6278704976
17/04/2002,13434.9620451409
18/04/2002,13780.0893729739
19/04/2002,13632.6538618807
20/04/2002,12573.9496284201
21/04/2002,11244.6120201649
22/04/2002,13124.6046573441
23/04/2002,13221.6031224450
24/04/2002,13192.2023171944
25/04/2002,13098.4015900754
26/04/2002,13452.1522046899
27/04/2002,12219.4262373372
28/04/2002,11108.7751684492
29/04/2002,13395.0141351753
30/04/2002,13423.9093282699
01/05/2002,11480.2006196957
02/05/2002,13460.8937392394
03/05/2002,13537.5093862026
04/05/2002,12507.0402432317
05/05/2002,11442.3239494524
06/05/2002,13495.8206345558
07/05/2002,13764.4777101070
08/05/2002,13641.7521408704
09/05/2002,13362.4167186740
10/05/2002,13610.6392343279
11/05/2002,12725.1712602797
12/05/2002,11316.7050448827
13/05/2002,13545.6991826446
14/05/2002,13916.9818082091
15/05/2002,13905.5978340874
16/05/2002,13891.7252718428
17/05/2002,13884.3617308929
18/05/2002,12695.7614289265
19/05/2002,11602.3198617737
20/05/2002,13867.2814149856
21/05/2002,14112.0853317006
22/05/2002,14098.6442295723
23/05/2002,14090.6207028087
24/05/2002,13855.3198496034
25/05/2002,12582.0761097346
26/05/2002,11484.8840414817
27/05/2002,13682.5878054499
28/05/2002,13855.4350870102
29/05/2002,13795.3604446323
30/05/2002,11848.9061639426
31/05/2002,13452.9550191818
01/06/2002,12475.0030745950
02/06/2002,11339.6161834961
03/06/2002,13530.7948016022
04/06/2002,13847.5551587531
05/06/2002,13924.5522282180
06/06/2002,13910.4608762479
07/06/2002,13703.9515781034
08/06/2002,12158.6105393887
09/06/2002,11285.9847938073
10/06/2002,13682.4762721857
11/06/2002,13938.0075601917
12/06/2002,13862.2290914987
13/06/2002,13711.6980113507
14/06/2002,13574.0313553010
15/06/2002,12391.3958938100
16/06/2002,11316.0573109822
17/06/2002,12613.5082396218
18/06/2002,13515.6647036774
19/06/2002,13709.2464083585
20/06/2002,13687.7543870331
21/06/2002,13722.5089667022
22/06/2002,12558.5142165994
23/06/2002,11466.3628436892
24/06/2002,13799.5223478464
25/06/2002,14023.5994142778
26/06/2002,13147.4042499286
27/06/2002,13756.5706991919
28/06/2002,13854.0181610016
29/06/2002,12896.8570552047
30/06/2002,11429.6665773357
01/07/2002,13024.0930217115
02/07/2002,13560.4181162996
03/07/2002,13802.3686160326
04/07/2002,13891.5322504541
05/07/2002,13913.5339357161
06/07/2002,12746.9401845166
07/07/2002,11755.2547261133
08/07/2002,13769.9195365945
09/07/2002,13959.7050476603
10/07/2002,13980.4675721631
11/07/2002,13944.2800125479
12/07/2002,13674.2875138092
13/07/2002,12561.6910834230
14/07/2002,11475.0554538009
15/07/2002,13591.4692385330
16/07/2002,13920.2043505432
17/07/2002,13980.8098148824
18/07/2002,13789.6032969390
19/07/2002,13504.2363313360
20/07/2002,12439.6702588692
21/07/2002,11025.1208030531
22/07/2002,13522.2957356623
23/07/2002,13923.9940288104
24/07/2002,14058.3524187432
25/07/2002,13905.2130843047
26/07/2002,13464.7220131210
27/07/2002,12212.9011380858
