FER,Y,D1,D2,D3,D4,D5,D6,D7
confraternização universal,18.189,20.884,22.500,22.606,19.527,20.503,20.410,19.050
carnaval,18.503,19.059,17.549,19.719,21.919,21.665,21.609,21.651
tiradentes,19.616,21.206,19.009,20.529,22.244,22.504,22.318,22.286
dia do trabalho,18.366,21.806,22.460,22.000,21.571,18.772,20.760,22.342
sexta-feira santa,18.982,20.433,21.536,22.101,22.027,21.566,20.976,18.277
corpus,19.849,22.316,22.341,21.821,18.808,20.915,22.127,21.909
adesao do pará,22.178,24.226,24.743,24.764,24.880,24.160,20.532,22.550
independencia,21.118,21.173,23.340,25.094,25.211,25.101,24.765,24.191
nossa sra aparecida,21.657,21.665,24.066,25.458,25.384,25.202,25.258,24.360
finados,21.455,21.491,23.640,25.278,25.639,26.092,25.891,23.967
proclamação da república,21.759,23.922,26.009,26.180,24.836,25.565,25.429,22.334
natal,20.792,23.354,23.958,24.233,24.194,22.410,23.897,24.469
confraternização universal,19.064,21.252,22.544,23.237,23.087,21.624,22.530,20.792
carnaval,21.192,21.650,20.296,21.933,23.247,24.194,23.957,24.459
sexta-feira santa,20.076,23.386,24.065,25.408,24.929,21.282,23.581,24.832
tiradentes,22.196,25.151,24.739,21.447,22.765,24.713,24.820,25.291
dia do trabalho,21.989,24.763,25.464,25.601,25.767,25.194,21.403,23.723
corpus,22.640,25.513,24.812,23.799,21.548,24.094,26.323,26.527
adesao do pará,22.602,24.385,25.945,26.282,26.599,26.627,26.306,22.799
independencia,24.181,26.605,24.031,25.787,27.314,27.174,27.031,26.443
nossa sra aparecida,23.428,25.385,23.322,26.139,28.061,28.001,27.680,27.112
finados,23.984,26.010,23.546,25.183,26.370,27.042,27.180,26.390
proclamação da república,22.652,21.644,25.191,27.797,28.289,27.707,27.536,27.458
natal,21.524,23.936,25.943,25.911,25.862,25.953,23.182,24.053
confraternização universal,20.764,23.660,25.481,26.406,26.341,25.632,22.616,21.524
carnaval,21.911,22.781,22.080,23.525,24.845,25.243,25.023,24.370
tiradentes,23.102,25.381,25.577,24.939,22.277,24.546,25.728,25.263
pascoa,21.828,23.102,25.381,25.577,24.939,22.277,24.546,25.728
dia do trabalho,22.831,24.513,26.327,25.565,25.928,26.109,25.454,21.378
corpus,24.510,26.960,26.785,26.294,24.113,25.964,27.244,27.541
adesao do pará,24.794,23.586,25.741,27.891,28.223,27.816,28.215,27.650
independencia,25.591,28.436,27.872,24.194,26.187,28.121,28.359,28.331
nossa sra aparecida,26.524,29.460,28.466,25.352,27.630,28.733,28.641,28.911
finados,24.490,28.317,27.728,24.194,26.823,28.703,28.939,28.625
proclamação da república,24.837,25.676,23.942,26.684,28.525,28.875,28.776,28.698
natal,23.943,26.542,28.429,29.102,29.019,29.155,28.542,25.720
confraternização universal,23.537,26.057,27.683,27.811,27.830,27.946,26.837,23.943
carnaval,23.091,24.107,23.000,23.975,25.042,25.861,25.189,26.047
sexta-feira santa,24.524,27.614,28.272,28.269,28.116,24.647,26.186,27.603
tiradentes,25.374,28.482,28.407,28.106,27.542,26.947,24.235,26.698
dia do trabalho,25.196,28.098,24.562,28.087,28.121,28.094,28.073,28.190
corpus,26.531,29.606,29.073,27.801,23.625,27.377,29.313,29.823
adesao do pará,27.503,30.232,29.784,25.734,28.189,29.247,29.526,29.664
independencia,27.429,30.748,30.774,30.310,29.709,25.676,28.114,30.387
